#GENE	DTB-OH-011	DTB-OH-014	DTB-SF-005	DTB-SF-009	DTB-SF-019	DTB-SF-018	DTB-LA-020	DTB-SF-023	DTB-SF-004	DTB-SF-030	DTB-SF-034	DTB-LA-035	DTB-LA-036	DTB-OH-038
ALK	8	8	7	8	5	8	6	9	8	6	5	4	8	6
CDKN2A	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DDR2	0	1	0	1	0	0	1	1	1	0	1	0	0	0
EGFR	4	1	5	5	5	3	5	4	3	5	3	6	5	6
ERBB2	2	2	3	1	1	0	0	0	1	2	3	2	1	1
FGFR3	1	1	1	1	1	1	1	1	0	1	1	1	1	1
KDR	1	0	0	0	0	0	0	0	1	0	0	0	0	0
KIT	1	1	1	0	0	1	0	1	0	1	0	0	0	0
KRAS	2	2	1	1	1	1	1	1	1	2	1	1	2	2
MET	4	3	5	3	3	4	3	1	1	3	3	4	4	3
NF1	2	2	1	3	1	3	2	1	2	2	2	1	2	2
NOTCH1	1	4	4	4	4	7	2	4	5	6	2	2	4	2
NTRK2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NTRK3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PIK3CA	0	0	0	0	0	0	0	0	2	1	1	0	0	0
PIK3R1	1	1	1	0	1	0	1	1	2	1	0	0	1	1
PTEN	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RB1	0	0	0	0	1	0	0	2	0	0	0	0	0	1
TP53	1	0	3	1	2	2	1	1	1	0	2	1	1	1
TSC1	0	0	0	0	0	0	0	0	1	2	2	0	2	1
TSC2	3	3	0	0	1	5	1	0	2	1	0	0	0	1
